##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50982_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10928044
Total Bases	1.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.37555192859765	37.0	37.0	37.0	37.0	37.0
2	36.34572426684959	37.0	37.0	37.0	37.0	37.0
3	36.40259775674402	37.0	37.0	37.0	37.0	37.0
4	36.39619102924549	37.0	37.0	37.0	37.0	37.0
5	36.42925357914005	37.0	37.0	37.0	37.0	37.0
6	36.38204330070413	37.0	37.0	37.0	37.0	37.0
7	36.32765708117574	37.0	37.0	37.0	37.0	37.0
8	36.407001655557025	37.0	37.0	37.0	37.0	37.0
9	36.37579094666896	37.0	37.0	37.0	37.0	37.0
10-14	36.38857835857908	37.0	37.0	37.0	37.0	37.0
15-19	36.36490541216708	37.0	37.0	37.0	37.0	37.0
20-24	36.34290839238935	37.0	37.0	37.0	37.0	37.0
25-29	36.27825111245892	37.0	37.0	37.0	37.0	37.0
30-34	36.2634671492904	37.0	37.0	37.0	37.0	37.0
35-39	36.229434636244136	37.0	37.0	37.0	37.0	37.0
40-44	36.2061238406434	37.0	37.0	37.0	37.0	37.0
45-49	36.196203108259816	37.0	37.0	37.0	37.0	37.0
50-54	36.17356496734457	37.0	37.0	37.0	37.0	37.0
55-59	36.147929675246544	37.0	37.0	37.0	37.0	37.0
60-64	36.11393392998784	37.0	37.0	37.0	37.0	37.0
65-69	36.1027012336334	37.0	37.0	37.0	37.0	37.0
70-74	36.071273084185975	37.0	37.0	37.0	37.0	37.0
75-79	36.03733509857757	37.0	37.0	37.0	37.0	37.0
80-84	36.03757794167007	37.0	37.0	37.0	37.0	37.0
85-89	35.99544621160017	37.0	37.0	37.0	37.0	37.0
90-94	35.99126641510595	37.0	37.0	37.0	37.0	37.0
95-99	35.92809033345766	37.0	37.0	37.0	37.0	37.0
100-104	35.84422429119063	37.0	37.0	37.0	37.0	37.0
105-109	35.83926843632768	37.0	37.0	37.0	37.0	37.0
110-114	35.810568259058996	37.0	37.0	37.0	37.0	37.0
115-119	35.835578096135045	37.0	37.0	37.0	37.0	37.0
120-124	35.75041780578483	37.0	37.0	37.0	37.0	37.0
125-129	35.619878854806956	37.0	37.0	37.0	37.0	37.0
130-134	35.592092162147225	37.0	37.0	37.0	37.0	37.0
135-139	35.55866473451241	37.0	37.0	37.0	37.0	37.0
140-144	35.52513741708946	37.0	37.0	37.0	37.0	37.0
145-149	35.57473913904447	37.0	37.0	37.0	37.0	37.0
150	35.415719684144754	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.054137501681452704
1101	2	-0.10631850571772361
1101	3	-0.075265686939332
1101	4	-0.05262750388959603
1101	5	-0.08493363998918113
1101	6	-0.23502594698673818
1101	7	-0.22466717483191445
1101	8	-0.03589586182587823
1101	9	0.0011637033788503004
1101	10-14	-0.08744821801644775
1101	15-19	-0.06454633854974645
1101	20-24	-0.2751926255593702
1101	25-29	-0.1229351379724477
1101	30-34	-0.12477983354182953
1101	35-39	-0.08474431777397484
1101	40-44	-0.16512442939569638
1101	45-49	0.0018691789142053494
1101	50-54	-0.11368244601244726
1101	55-59	-0.13615694021132896
1101	60-64	-0.2684622047111418
1101	65-69	-0.2746113281559346
1101	70-74	-0.3939283273629073
1101	75-79	-0.31444583149917094
1101	80-84	-0.23817584334581454
1101	85-89	-0.19289583420403034
1101	90-94	-0.2562138099278286
1101	95-99	-0.20679878067989677
1101	100-104	-0.20031460805331136
1101	105-109	-0.2895334940889285
1101	110-114	-0.3138405927981225
1101	115-119	-0.1983334584684897
1101	120-124	-0.30644997156908715
1101	125-129	-0.2902327793116086
1101	130-134	-0.505451947334727
1101	135-139	-0.3045782642557384
1101	140-144	-0.5836441746658281
1101	145-149	-0.5116580616278696
1101	150	-0.807149120261279
1102	1	-0.07878615827480928
1102	2	-0.1285714175074304
1102	3	-0.14016562938773092
1102	4	0.04885934845877671
1102	5	-0.015801518368022016
1102	6	-0.038956008397356356
1102	7	-0.00909451296228525
1102	8	-0.10283268565843429
1102	9	-0.164977840638592
1102	10-14	-0.14564420008073853
1102	15-19	-0.16944890162837112
1102	20-24	-0.11690645533748523
1102	25-29	-0.06311887153685092
1102	30-34	-0.07584185174428626
1102	35-39	-0.21345833967964012
1102	40-44	-0.3102765624405208
1102	45-49	-0.2090258486392429
1102	50-54	-0.23962972714758024
1102	55-59	-0.2556681129442211
1102	60-64	-0.23092119128466493
1102	65-69	-0.2481189403328088
1102	70-74	-0.2180455957129297
1102	75-79	-0.3108625009606598
1102	80-84	-0.20962901660926292
1102	85-89	-0.2794360294635183
1102	90-94	-0.278797056318453
1102	95-99	-0.3038487431166601
1102	100-104	-0.39369347830342605
1102	105-109	-0.24072442927347737
1102	110-114	-0.33199934180770896
1102	115-119	-0.3306091283172634
1102	120-124	-0.13907222496617777
1102	125-129	-0.1934877771195218
1102	130-134	-0.44199428745526603
1102	135-139	-0.4328258417110078
1102	140-144	-0.32600556182850937
1102	145-149	-0.3883366103914838
1102	150	-0.34171028472238163
1103	1	-0.1699130216319631
1103	2	-0.3155482463786896
1103	3	-0.007246023961947401
1103	4	-0.14143182978624935
1103	5	-0.14109719443820268
1103	6	0.07822043750298491
1103	7	-0.10459807650505581
1103	8	-0.03490549642111773
1103	9	-0.5400131366078327
1103	10-14	0.0027241617696844855
1103	15-19	-0.17015651830566014
