##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50983_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12580241
Total Bases	1.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.150976757917434	37.0	37.0	37.0	37.0	37.0
2	36.30751461756575	37.0	37.0	37.0	37.0	37.0
3	36.30113373821694	37.0	37.0	37.0	37.0	37.0
4	36.41575427688547	37.0	37.0	37.0	37.0	37.0
5	36.34924076573732	37.0	37.0	37.0	37.0	37.0
6	36.37100402130611	37.0	37.0	37.0	37.0	37.0
7	36.33938435678617	37.0	37.0	37.0	37.0	37.0
8	36.438628719433915	37.0	37.0	37.0	37.0	37.0
9	36.4189657415943	37.0	37.0	37.0	37.0	37.0
10-14	36.414307357068914	37.0	37.0	37.0	37.0	37.0
15-19	36.40300005381455	37.0	37.0	37.0	37.0	37.0
20-24	36.37847244738792	37.0	37.0	37.0	37.0	37.0
25-29	36.31664153333787	37.0	37.0	37.0	37.0	37.0
30-34	36.29462406960248	37.0	37.0	37.0	37.0	37.0
35-39	36.27736028268457	37.0	37.0	37.0	37.0	37.0
40-44	36.25751187119547	37.0	37.0	37.0	37.0	37.0
45-49	36.238610897835734	37.0	37.0	37.0	37.0	37.0
50-54	36.21526452474161	37.0	37.0	37.0	37.0	37.0
55-59	36.20061590235036	37.0	37.0	37.0	37.0	37.0
60-64	36.16370928029121	37.0	37.0	37.0	37.0	37.0
65-69	36.15179213180416	37.0	37.0	37.0	37.0	37.0
70-74	36.144519806893996	37.0	37.0	37.0	37.0	37.0
75-79	36.105088431930675	37.0	37.0	37.0	37.0	37.0
80-84	36.081573651887915	37.0	37.0	37.0	37.0	37.0
85-89	36.04972051012378	37.0	37.0	37.0	37.0	37.0
90-94	36.02765233193863	37.0	37.0	37.0	37.0	37.0
95-99	35.99586918883351	37.0	37.0	37.0	37.0	37.0
100-104	35.96863296974995	37.0	37.0	37.0	37.0	37.0
105-109	35.93715182403898	37.0	37.0	37.0	37.0	37.0
110-114	35.90988544655067	37.0	37.0	37.0	37.0	37.0
115-119	35.88750574810133	37.0	37.0	37.0	37.0	37.0
120-124	35.81559391429782	37.0	37.0	37.0	37.0	37.0
125-129	35.78576997054349	37.0	37.0	37.0	37.0	37.0
130-134	35.73497197708692	37.0	37.0	37.0	37.0	37.0
135-139	35.66787364407407	37.0	37.0	37.0	37.0	37.0
140-144	35.64420137897199	37.0	37.0	37.0	37.0	37.0
145-149	35.61720928875687	37.0	37.0	37.0	37.0	37.0
150	35.59056348761522	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.134241661270309
1101	2	-0.00166146895160324
1101	3	-0.05010895236405588
1101	4	-0.09852875560270746
1101	5	-0.003967706383832592
1101	6	-0.010666616460540013
1101	7	-0.20479796983243403
1101	8	-0.05543142760215858
1101	9	-0.07571915462893486
1101	10-14	-0.04623971461627718
1101	15-19	-0.09576858287138634
1101	20-24	-0.08668618380814763
1101	25-29	-0.0645895146810389
1101	30-34	-0.09201772584668078
1101	35-39	-0.08348803670504878
1101	40-44	-0.11180112457269331
1101	45-49	-0.114950856054989
1101	50-54	-0.13109161591684426
1101	55-59	-0.191974275402508
1101	60-64	-0.1942008282613017
1101	65-69	-0.15813871270930235
1101	70-74	-0.10685094539132223
1101	75-79	-0.17801246911668756
1101	80-84	-0.0969188924474409
1101	85-89	-0.1663974222188358
1101	90-94	-0.24144654474318372
1101	95-99	-0.20807304311377806
1101	100-104	-0.32737277966086253
1101	105-109	-0.14672841946904924
1101	110-114	-0.2630808505495281
1101	115-119	-0.24850723886120107
1101	120-124	-0.31198374645999394
1101	125-129	-0.1967586951466629
1101	130-134	-0.35983810008672634
1101	135-139	-0.2831307252953721
1101	140-144	-0.3094152029859316
1101	145-149	-0.25811391686395524
1101	150	-0.2927108128033993
1102	1	-0.03201686912888846
1102	2	-0.12822966195132324
1102	3	-0.00509074647196428
1102	4	-0.07442152624943787
1102	5	-0.04452676380417131
1102	6	0.0011964663336101466
1102	7	-0.1321184564584712
1102	8	-0.09749946241065999
1102	9	-0.10454940886754116
1102	10-14	-0.08094084443229121
1102	15-19	-0.13766615164358598
1102	20-24	-0.14319180566938172
1102	25-29	-0.1315970665921995
1102	30-34	-0.09976437170995922
1102	35-39	-0.10456346772124192
1102	40-44	-0.1470627283594439
1102	45-49	-0.17522370590562275
1102	50-54	-0.09287673868405477
1102	55-59	-0.18822730057173231
1102	60-64	-0.21053905132760065
1102	65-69	-0.19656199845648104
1102	70-74	-0.192745995981781
1102	75-79	-0.2457733682866774
1102	80-84	-0.2085880424674471
1102	85-89	-0.28917988427123476
1102	90-94	-0.29253408375319623
1102	95-99	-0.24284576140669145
1102	100-104	-0.34770902306870966
1102	105-109	-0.3114497234212479
1102	110-114	-0.3208221023996174
1102	115-119	-0.30393932039128657
1102	120-124	-0.33370849022972493
1102	125-129	-0.23130785603078863
1102	130-134	-0.5022203339691558
1102	135-139	-0.2317477360169633
1102	140-144	-0.3438778079577318
1102	145-149	-0.27802342739018826
1102	150	-0.4160811725398901
1103	1	-0.1743173845261765
1103	2	-0.08038398887170217
1103	3	0.08083502957470756
1103	4	0.05303447950592499
1103	5	-0.029563943226499134
1103	6	-0.004759547852458468
1103	7	-0.016183856270743036
1103	8	0.06916720425600431
1103	9	0.0883609277425279
1103	10-14	0.04213018147246572
1103	15-19	0.02120862986055272
1103	20-24	0.03263392597555992
1103	25-29	-0.026064161538826625
1103	30-34	-0.0485309029232468
1103	35-39	0.024329130679163313
1103	40-44	0.008740802421066007
1103	45-49	0.05773204411826072
1103	50-54	-0.018369625976724535
1103	55-59	0.024519480302920726
1103	60-64	0.022117801994937736
1103	65-69	-0.025081959562818668
1103	70-74	0.056955837978236445
1103	75-79	-0.03689178601140242
1103	80-84	-0.07443142239449685
1103	85-89	-0.09690128871478976
1103	90-94	-0.12047120191238037
1103	95-99	-0.08536789201521344
1103	100-104	-0.13679923726489562
1103	105-109	-0.1305465135696906
1103	110-114	-0.14909993357187545
1103	115-119	-0.26597685390335357
1103	120-124	-0.18144686849873182
1103	125-129	-0.23405132082696412
1103	130-134	-0.19233088865352954
1103	135-139	-0.1822233965629394
1103	140-144	-0.08045505291476474
1103	145-149	-0.15114329519667535
1103	150	-0.24590564519910174
1104	1	-0.2972097286424642
1104	2	-0.09715703451615809
1104	3	0.1389709618503403
1104	4	-0.2390913270670083
1104	5	-0.08609165459203894
1104	6	0.005374213862211263
1104	7	0.07427588358429915
1104	8	0.04545310939962377
1104	9	0.017873214156281847
1104	10-14	-0.03780484497005432
1104	15-19	0.002839093647828861
1104	20-24	-0.049821333067995965
1104	25-29	-0.08138696084611041
1104	30-34	-0.04786316888501574
1104	35-39	-0.18520987584146553
1104	40-44	-0.08978439811405536
1104	45-49	-0.1712965223981513
1104	50-54	-0.07391789857196329
1104	55-59	-0.09765050757273741
1104	60-64	-0.13305527875100864
1104	65-69	-0.06675941635307225
1104	70-74	-0.20246774556059677
1104	75-79	-0.13796882838928326
1104	80-84	-0.2102977932058181
1104	85-89	-0.21227681187907166
1104	90-94	-0.21033278387881182
1104	95-99	-0.11535404842096852
1104	100-104	-0.1609386689432668
1104	105-109	-0.09044486254646245
1104	110-114	-0.1368976917334166
1104	115-119	-0.23357191892168316
1104	120-124	-0.18326874281035543
1104	125-129	-0.16156568825708462
1104	130-134	-0.1857991477812604
1104	135-139	-0.16103625015215073
1104	140-144	-0.1891523402508284
1104	145-149	-0.17803174591403348
1104	150	0.022857081326336015
1105	1	-0.17495187961107206
1105	2	-0.10090052149011086
1105	3	-0.1452668471008991
1105	4	-0.026765341763066886
1105	5	-0.023294059401656853
1105	6	0.1092887095201931
1105	7	-0.14720441033687592
1105	8	-0.008166129077331163
1105	9	0.036339480021347015
1105	10-14	-0.04161673541761246
1105	15-19	-0.09623051223059775
1105	20-24	-0.09900396499853059
1105	25-29	-0.07477694080603214
1105	30-34	-0.11527799854433596
1105	35-39	-0.10204942159964503
1105	40-44	-0.05023757112674332
1105	45-49	-0.1424874375618117
1105	50-54	-0.13805577432346894
1105	55-59	-0.16144155633693202
1105	60-64	-0.10496924000685226
1105	65-69	-0.06944585589884156
1105	70-74	-0.17606507354991408
1105	75-79	-0.10229160728039233
1105	80-84	-0.0888228433060192
1105	85-89	-0.09766625743685609
1105	90-94	-0.15569550932971765
1105	95-99	-0.07095645323058619
1105	100-104	-0.06494508176892566
1105	105-109	-0.16837886388245948
1105	110-114	-0.14028206047089498
1105	115-119	-0.2962059870579523
1105	120-124	-0.1735827040662059
1105	125-129	-0.1990529294060508
1105	130-134	-0.2276610048286969
1105	135-139	-0.022258427840860406
1105	140-144	-0.11562288133298892
1105	145-149	-0.023145439968800474
1105	150	-0.15967865681661664
1106	1	0.03144212175225647
1106	2	-0.030250214741641912
1106	3	-0.0017467380347753192
1106	4	0.03978407882316759
1106	5	-0.013810760151486079
1106	6	-0.011474753329153486
1106	7	-0.0823673278556214
1106	8	0.09609290296084083
1106	9	-0.003254248676675786
1106	10-14	-0.04709021871686048
1106	15-19	-0.04975525660687197
1106	20-24	-0.05367990228550923
1106	25-29	0.02634971222736482
1106	30-34	-0.028897630446174105
1106	35-39	0.021329446839345678
1106	40-44	-0.07015413554392325
1106	45-49	-0.02551347709827212
1106	50-54	-0.08150608107193591
1106	55-59	-0.004899497713893197
1106	60-64	0.019575545269219674
1106	65-69	-0.024839448264209807
1106	70-74	-0.12942076543811964
1106	75-79	-0.13739508376301046
1106	80-84	-0.15448610165639565
1106	85-89	-0.09772897045662887
1106	90-94	-0.05788501171554117
1106	95-99	-0.10087819828852673
1106	100-104	-0.09734208245058795
1106	105-109	-0.05703653259411823
1106	110-114	-0.0596205744449847
1106	115-119	-0.26907906135924975
1106	120-124	-0.1754231948637539
1106	125-129	-0.18439553335969805
1106	130-134	-0.17998602187027046
1106	135-139	-0.008934910458449963
1106	140-144	-0.18679506947205482
1106	145-149	0.01985878634339855
1106	150	0.04878487419906463
1107	1	-0.2753802597984887
1107	2	-0.023117388959988716
1107	3	0.01738911006108168
1107	4	-0.20996748366400197
1107	5	-0.03936902593445524
1107	6	-0.0012333788332199447
1107	7	-0.08755782399149581
1107	8	-0.1095476551817498
1107	9	-0.1439068385864175
1107	10-14	-0.09528956004947275
1107	15-19	0.018504695266059912
1107	20-24	-0.0866526932448437
1107	25-29	-0.08962995285421727
1107	30-34	-0.13011066253363168
1107	35-39	-0.10029734663311274
1107	40-44	-0.07353288571843564
1107	45-49	0.014772000189189782
1107	50-54	-0.05021855879468973
1107	55-59	-0.12356310921511238
1107	60-64	-0.06058476878864383
1107	65-69	-0.1550929777194554
1107	70-74	0.023232382942723007
1107	75-79	-0.09132614543300832
1107	80-84	-0.09424185267683782
1107	85-89	-0.15171177283177428
1107	90-94	-0.13854959232837416
1107	95-99	-0.24346408375267714
1107	100-104	-0.0958719893994413
1107	105-109	-0.100283549290765
1107	110-114	-0.15036720103314138
1107	115-119	-0.3101776068705391
1107	120-124	-0.08964696109431713
1107	125-129	-0.04440982364969415
1107	130-134	-0.2848668950562683
1107	135-139	-0.052981854882368395
1107	140-144	-0.18667187731692536
1107	145-149	-0.07758292323519811
1107	150	-0.08035335561179835
1108	1	-0.09647670230610572
1108	2	-0.1074200250362054
1108	3	-0.1071498258243011
1108	4	-0.005176689280794733
1108	5	-0.1318862579832185
1108	6	0.07875679462657814
1108	7	0.1701218307978749
1108	8	-0.04652428510569706
1108	9	-0.01805413699992897
1108	10-14	-0.01201248009846978
1108	15-19	0.05908225372685649
1108	20-24	0.00318894280289328
1108	25-29	-0.09933793371382649
1108	30-34	0.011654625569143207
1108	35-39	-0.11978771947198652
1108	40-44	-0.02204466332532462
1108	45-49	-0.010016515575991036
1108	50-54	-0.01962882396886556
1108	55-59	-0.05806850669154784
1108	60-64	-0.006702573340177764
1108	65-69	0.004027902966406316
1108	70-74	-0.07116720120948372
1108	75-79	-0.05281572075556795
1108	80-84	-0.1395781624549528
1108	85-89	-0.14831164750778214
1108	90-94	-0.08885862989708926
1108	95-99	-0.13109546032278985
1108	100-104	-0.1261131668753066
1108	105-109	-0.0632079418966498
1108	110-114	-0.052264684584365284
1108	115-119	-0.22197123528490437
1108	120-124	-0.27021390973995807
1108	125-129	-0.1621454825975377
1108	130-134	-0.21539788426131423
1108	135-139	-0.09756835691887744
1108	140-144	-0.024688838779802325
1108	145-149	-0.1100560782666733
1108	150	-0.12887723837690146
1109	1	-0.12170987047865367
1109	2	0.19502641914915841
1109	3	0.05385644057033545
1109	4	0.07002004636478887
1109	5	0.07206667119195487
1109	6	0.0895626821229385
1109	7	0.13869513304211978
1109	8	0.06368775220121137
1109	9	-0.11977010901974694
1109	10-14	0.0550627166371811
1109	15-19	0.002739350783102168
1109	20-24	-0.0048815905692976
1109	25-29	-0.008888356331141267
1109	30-34	-0.014364756535201195
1109	35-39	-0.014937092832532528
1109	40-44	-0.037649443272862015
1109	45-49	0.020551831844578317
1109	50-54	-0.1018512081134233
1109	55-59	0.017236069233845797
1109	60-64	-0.03177106649087591
1109	65-69	-0.022216632154545835
1109	70-74	-0.021314388618407065
1109	75-79	-0.029769232851172944
1109	80-84	0.030190855324114807
1109	85-89	-0.03430552684324795
1109	90-94	-0.033248020745247686
1109	95-99	-0.07363407880136918
1109	100-104	-0.10962453382371962
1109	105-109	-0.01863274516100688
1109	110-114	-0.03465283672659325
1109	115-119	-0.12476123819950402
1109	120-124	-0.11376535246802888
1109	125-129	-0.058976217077287174
1109	130-134	-0.0556317810844007
1109	135-139	0.014906868962789588
1109	140-144	-0.050176305990525805
1109	145-149	0.01653675181201919
1109	150	-0.030400118003832688
1110	1	0.0237200295195521
1110	2	0.0968487139838956
1110	3	-0.018378249460006657
1110	4	0.07156405972229862
1110	5	-0.0014050248887684802
1110	6	0.06965568199726135
1110	7	0.03967719735206998
1110	8	-0.038958614878986
1110	9	-0.06048358682006949
1110	10-14	0.03991091857976414
1110	15-19	0.038328858673722266
1110	20-24	-0.05572882301512294
1110	25-29	0.0030027009589304043
1110	30-34	-0.08546585350283209
1110	35-39	-0.04779621059047656
1110	40-44	-0.03948143307519558
1110	45-49	0.022673593456104868
1110	50-54	-0.03547263758253649
1110	55-59	-0.08544225533213279
1110	60-64	-0.026951590378189394
1110	65-69	-0.033745025842037535
1110	70-74	0.0841456735011974
1110	75-79	-0.017837959399230385
1110	80-84	0.014726304793583722
1110	85-89	-0.023294916239827046
1110	90-94	-0.09711272208637922
1110	95-99	-0.035647759477853924
1110	100-104	-0.031510743629993954
1110	105-109	-0.019000794856687264
1110	110-114	-0.10505410066311072
1110	115-119	-0.1906234619378111
1110	120-124	-0.09079546072850775
1110	125-129	-0.10147285076909185
1110	130-134	-0.13140657057792993
1110	135-139	0.028836023884778683
1110	140-144	-0.11800086298436696
1110	145-149	-0.09879314639081826
1110	150	0.03240172763074156
1111	1	-0.21872233466599056
1111	2	-0.002301104319073488
1111	3	0.020963146174153735
1111	4	-0.1316915914828627
1111	5	0.12552817776489889
1111	6	-0.005546529215514795
1111	7	-0.04000243768500411
1111	8	0.029826249313167352
1111	9	-0.05318573853951136
1111	10-14	-0.02830510125487251
1111	15-19	0.03069026786355522
1111	20-24	-0.010650860313475619
1111	25-29	0.021829739310533114
1111	30-34	0.04198718863343487
1111	35-39	-0.001306449171934787
1111	40-44	-0.006395562608474847
1111	45-49	-0.03140328602628273
1111	50-54	-0.014095406692888446
1111	55-59	-0.07683326223247633
1111	60-64	-0.0651087602937821
1111	65-69	-0.04472476197370412
1111	70-74	-0.021620419884804676
1111	75-79	-0.06963399687914062
1111	80-84	-0.025210200400842098
1111	85-89	-0.07987562753324084
1111	90-94	9.294626496654246E-4
1111	95-99	-0.053028096359931
1111	100-104	-5.943083997195231E-4
1111	105-109	-0.0808035220308625
1111	110-114	-0.06750393897347351
1111	115-119	-0.10451766605368817
1111	120-124	-0.14302901655219813
1111	125-129	-0.040178416964891994
1111	130-134	-0.14537595663322378
1111	135-139	-0.05264515727373009
1111	140-144	-0.030878832913352028
1111	145-149	-0.06112849309590729
1111	150	-0.056489237403930304
1112	1	-0.1656432050183838
1112	2	-0.018878504757388725
1112	3	-0.14549934379839158
1112	4	0.025178295401175887
1112	5	0.058192510391386065
1112	6	0.06389901335110437
1112	7	-0.12910313336637813
1112	8	-0.05698867421163101
1112	9	-0.09729856489278887
1112	10-14	0.06012487620721885
1112	15-19	0.0077103067918571355
1112	20-24	0.03292699052767745
1112	25-29	0.009180082531706546
1112	30-34	0.013898575652056877
1112	35-39	-0.07323462635525857
1112	40-44	0.005249527067888948
1112	45-49	0.04504686450776774
1112	50-54	-0.057871186036372535
1112	55-59	-0.0285777958789879
1112	60-64	-0.0010883064973796763
1112	65-69	-0.016760342908959558
1112	70-74	0.05945830822022913
1112	75-79	0.02190988985743303
1112	80-84	-0.052479382275642195
1112	85-89	-0.10691152383932234
1112	90-94	0.0040332445232138525
1112	95-99	-0.06723897194481054
1112	100-104	-0.08356384002519235
1112	105-109	-0.008128049263355308
1112	110-114	-0.02045150124587991
1112	115-119	-0.09820616319181141
1112	120-124	-0.02990150635594091
1112	125-129	0.06751298869170341
1112	130-134	-0.16137760544516055
1112	135-139	0.03650546471747873
1112	140-144	0.1293419799615947
1112	145-149	0.03280066306950857
1112	150	0.19179998695264544
1113	1	0.058803735842658966
1113	2	0.06703838237332604
1113	3	0.002097034300717837
1113	4	-0.021291846704663442
1113	5	-0.060160186984766995
1113	6	0.010690326770870229
1113	7	-0.08725472480228547
1113	8	-0.013043038331595369
1113	9	-0.11107830973606525
1113	10-14	0.01411156646918954
1113	15-19	-0.019924312769674657
1113	20-24	-0.034847990155753905
1113	25-29	0.01859161265308984
1113	30-34	-0.006131547511095903
1113	35-39	-0.05143378817646749
1113	40-44	-0.07099803833249041
1113	45-49	-0.0415070242644191
1113	50-54	-0.03297257576102197
1113	55-59	-0.0077301457349605585
1113	60-64	-0.08473491835366076
1113	65-69	-0.0454688567973065
1113	70-74	0.007044360412351125
1113	75-79	9.112678319098677E-4
1113	80-84	-0.020531738184722315
1113	85-89	-0.03979384054557045
1113	90-94	-0.03850593161183724
1113	95-99	-0.08403174523417789
1113	100-104	-0.09406421923522146
1113	105-109	-0.061039420935465216
1113	110-114	0.1228496556117662
1113	115-119	0.03223318634726269
1113	120-124	-0.11554137432676015
1113	125-129	-0.030613037222764206
1113	130-134	-0.09893791408295272
1113	135-139	0.07953707979615388
1113	140-144	-0.002859539014934853
1113	145-149	0.034842700192925236
1113	150	0.22084605117979095
1114	1	-0.4814902560764551
1114	2	-0.06003080240141401
1114	3	0.03643454639611576
1114	4	-0.04380493477346192
1114	5	-0.1210476537391898
1114	6	-0.03428129711550554
1114	7	-0.08502613119509306
1114	8	-0.08909424232660967
1114	9	0.0070335742482896535
1114	10-14	0.007765082764208842
1114	15-19	0.04848295824054105
1114	20-24	0.0012427060919435462
1114	25-29	0.027250575230247875
1114	30-34	0.05976292160607244
1114	35-39	0.016738103284225758
1114	40-44	0.06177552332138703
1114	45-49	-0.023599934796934008
1114	50-54	0.06001969570528587
1114	55-59	0.033102482592504145
1114	60-64	0.028698886513836896
1114	65-69	-0.12539613238634217
1114	70-74	-0.10221557122741132
1114	75-79	-0.041893111372417025
1114	80-84	-0.08914666546926497
1114	85-89	-0.1110694868108908
1114	90-94	0.05818283616906683
1114	95-99	-0.050243690567462806
1114	100-104	-0.04735676060103344
1114	105-109	-0.05695891254426755
1114	110-114	-0.12136252939369996
1114	115-119	-0.16038258515571613
1114	120-124	-0.12317350256211057
1114	125-129	-0.03940435608156889
1114	130-134	-0.1715385540434653
1114	135-139	0.08131441002686302
1114	140-144	0.001987204931111819
1114	145-149	-0.0900656788540104
1114	150	-0.06341499833398245
1115	1	-0.09888666700917526
1115	2	-0.07751475369984462
1115	3	0.09321035051972615
1115	4	0.0274483616958463
1115	5	0.06837899633749345
1115	6	0.03840966127168599
1115	7	0.1929083898393742
1115	8	0.06024453406433139
1115	9	-0.14137102890131814
1115	10-14	-0.002882036144640665
1115	15-19	0.014720446130269238
1115	20-24	-0.03170790859843464
1115	25-29	-0.007132613861763559
1115	30-34	0.019518212074743246
1115	35-39	0.0060769498478094874
1115	40-44	-0.03622109172599153
1115	45-49	0.017339308417483323
1115	50-54	0.058157664760024375
1115	55-59	0.0033882299596044163
1115	60-64	-0.012750160914542619
1115	65-69	-0.07206334873866638
1115	70-74	-0.002145179300079292
1115	75-79	0.07684793887514729
1115	80-84	-0.023516828765373532
1115	85-89	-0.015085072153752321
1115	90-94	-0.023574777891070653
1115	95-99	-0.04310415096136211
1115	100-104	-0.07134931177552772
1115	105-109	-0.026028918960676606
1115	110-114	0.013702693880283334
1115	115-119	-0.028156108230014354
1115	120-124	-0.1250918470492408
1115	125-129	-0.0617405698554947
1115	130-134	-0.14250427427129608
1115	135-139	-0.024383301160973758
1115	140-144	0.024618757794570456
1115	145-149	0.14716572989240007
1115	150	0.03764938900845749
1116	1	-0.04568746609218266
1116	2	-0.1445135102243711
1116	3	-0.00909189680268696
1116	4	-0.005853479602691891
1116	5	0.024435562864745464
1116	6	0.08323171813517405
1116	7	0.02332706746299351
1116	8	-0.21545837559820313
1116	9	-0.08630332978646749
1116	10-14	-0.022477702945778333
1116	15-19	-0.08226205629951266
1116	20-24	-0.048029279776521605
1116	25-29	0.02256275435632915
1116	30-34	0.0031050365782618883
1116	35-39	-0.014923112785865555
1116	40-44	-0.01047295880069754
1116	45-49	-0.003997311650614677
1116	50-54	0.03766112428487389
1116	55-59	0.04287547480952014
1116	60-64	-0.007332129337527249
1116	65-69	0.00393731176187373
1116	70-74	-0.0357241855446091
1116	75-79	0.061675523269641985
