##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50995s1_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	18508318
Total Bases	2.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.38758151875281	37.0	37.0	37.0	37.0	37.0
2	36.34823272433508	37.0	37.0	37.0	37.0	37.0
3	36.410871263396274	37.0	37.0	37.0	37.0	37.0
4	36.406167432394454	37.0	37.0	37.0	37.0	37.0
5	36.44106536315186	37.0	37.0	37.0	37.0	37.0
6	36.396008432532874	37.0	37.0	37.0	37.0	37.0
7	36.33929485110424	37.0	37.0	37.0	37.0	37.0
8	36.416191573972306	37.0	37.0	37.0	37.0	37.0
9	36.38244361265027	37.0	37.0	37.0	37.0	37.0
10-14	36.39778734080536	37.0	37.0	37.0	37.0	37.0
15-19	36.37265813133317	37.0	37.0	37.0	37.0	37.0
20-24	36.350232711584056	37.0	37.0	37.0	37.0	37.0
25-29	36.285756015214346	37.0	37.0	37.0	37.0	37.0
30-34	36.269626878033975	37.0	37.0	37.0	37.0	37.0
35-39	36.237251013301155	37.0	37.0	37.0	37.0	37.0
40-44	36.21412347680648	37.0	37.0	37.0	37.0	37.0
45-49	36.204830476761856	37.0	37.0	37.0	37.0	37.0
50-54	36.18319973754503	37.0	37.0	37.0	37.0	37.0
55-59	36.15889172641188	37.0	37.0	37.0	37.0	37.0
60-64	36.12459320182417	37.0	37.0	37.0	37.0	37.0
65-69	36.11376044003567	37.0	37.0	37.0	37.0	37.0
70-74	36.082226369786824	37.0	37.0	37.0	37.0	37.0
75-79	36.05048536555294	37.0	37.0	37.0	37.0	37.0
80-84	36.05180774395599	37.0	37.0	37.0	37.0	37.0
85-89	36.012020335937606	37.0	37.0	37.0	37.0	37.0
90-94	36.00840094707688	37.0	37.0	37.0	37.0	37.0
95-99	35.94414785827648	37.0	37.0	37.0	37.0	37.0
100-104	35.86327575525772	37.0	37.0	37.0	37.0	37.0
105-109	35.856688263082575	37.0	37.0	37.0	37.0	37.0
110-114	35.82917982066226	37.0	37.0	37.0	37.0	37.0
115-119	35.85384175914851	37.0	37.0	37.0	37.0	37.0
120-124	35.77194998486626	37.0	37.0	37.0	37.0	37.0
125-129	35.63998239062026	37.0	37.0	37.0	37.0	37.0
130-134	35.61307997841835	37.0	37.0	37.0	37.0	37.0
135-139	35.57658527371315	37.0	37.0	37.0	37.0	37.0
140-144	35.5463701563805	37.0	37.0	37.0	37.0	37.0
145-149	35.59432906869225	37.0	37.0	37.0	37.0	37.0
150	35.43745882256832	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11393399726628672
1101	2	-0.15112412113320062
1101	3	-0.061861413476179905
1101	4	0.027000276060761053
1101	5	-0.14642004164999634
1101	6	-0.21647628639976801
1101	7	-0.07765057701006839
1101	8	-0.09738144115542724
1101	9	-0.055008702807157306
1101	10-14	-0.0434443383855978
1101	15-19	-0.07920015558477189
1101	20-24	-0.3931295466313429
1101	25-29	-0.13462221239627326
1101	30-34	-0.10802997460061192
1101	35-39	-0.07005512815337767
1101	40-44	-0.10973226131041969
1101	45-49	-0.00670246673065833
1101	50-54	-0.0963057445585278
1101	55-59	-0.142368239440124
1101	60-64	-0.34741972506562746
1101	65-69	-0.277546467860887
1101	70-74	-0.5013222148685372
1101	75-79	-0.21734482557339163
1101	80-84	-0.3285308135235212
1101	85-89	-0.2528963436255154
1101	90-94	-0.2072707476682325
1101	95-99	-0.2273085763002456
1101	100-104	-0.2565068909802122
1101	105-109	-0.24345270593427415
1101	110-114	-0.23558619692741445
1101	115-119	-0.12574458729044125
1101	120-124	-0.23568973850343156
1101	125-129	-0.2760867490351657
1101	130-134	-0.4588932296231931
1101	135-139	-0.4627119087794611
1101	140-144	-0.751775547901552
1101	145-149	-0.5195252904379117
1101	150	-0.6990484794870468
1102	1	-0.04682782936799157
1102	2	0.0575505159121974
1102	3	-0.172860602260549
1102	4	0.07569901716047411
1102	5	-0.10852583391218928
1102	6	-0.21878087097208265
1102	7	-0.02428295622769383
1102	8	-0.1299426874233447
1102	9	-0.2091736735222156
1102	10-14	-0.1553373594579739
1102	15-19	-0.20591199080493539
1102	20-24	-0.11690397735866753
1102	25-29	-0.25101189342788643
1102	30-34	-0.1534992419080652
1102	35-39	-0.17765925585624132
1102	40-44	-0.23814669454912263
1102	45-49	-0.10369702855382457
1102	50-54	-0.24381937120660524
1102	55-59	-0.2725676172116067
1102	60-64	-0.14453984203494485
1102	65-69	-0.22920571053285244
1102	70-74	-0.2839966293734122
1102	75-79	-0.2225874480732699
1102	80-84	-0.20759625697184703
1102	85-89	-0.29411861740745593
1102	90-94	-0.18346817101413393
1102	95-99	-0.2632053035246571
1102	100-104	-0.44399634091527673
1102	105-109	-0.26542795382033546
1102	110-114	-0.2211205598995747
1102	115-119	-0.3367963930754456
1102	120-124	-0.12461369918259635
1102	125-129	-0.1864093084356213
1102	130-134	-0.5953953387978075
1102	135-139	-0.3396250714459228
1102	140-144	-0.2532883157798196
1102	145-149	-0.37196834803292234
1102	150	-0.44274187994024317
1103	1	-0.15181628613176912
1103	2	-0.18804018887512797
1103	3	0.04165782613323188
1103	4	-0.2177033668453916
1103	5	-0.13632958784523197
1103	6	-0.028415092207531245
1103	7	0.04765242901433453
1103	8	-0.06954895966058672
1103	9	-0.14449102963433802
1103	10-14	0.016154767618139942
1103	15-19	-0.15900303633743107
1103	20-24	-0.12117963204986637
